date,ticker,side,call_prem_pct,size,return_pct,pnl_pu_pct,pnl_contribution_pct,in_recovery
2021-02-01,ELV,skip,0.0,0,2.091,0.0,0.0,True
2021-02-01,EW,skip,0.0,0,0.6297,0.0,0.0,True
2021-02-01,GE,skip,0.0,0,17.4158,0.0,0.0,True
2021-02-01,GOOGL,buy_call,3.4858,2,10.6465,7.1607,0.143214,True
2021-02-01,GS,buy_call,2.8914,2,17.8154,14.924,0.29848,True
2021-02-01,HD,buy_call,3.2887,2,-4.6082,-3.2887,-0.065774,True
2021-02-01,HON,skip,0.0,0,3.5727,0.0,0.0,True
2021-02-01,HUM,skip,0.0,0,-0.9031,0.0,0.0,True
2021-02-01,INTC,buy_call,5.0332,2,9.4938,4.4606,0.089212,True
2021-02-01,INTU,skip,0.0,0,8.1763,0.0,0.0,True
2021-02-01,ISRG,skip,0.0,0,-1.4499,0.0,0.0,True
2021-02-01,ITW,skip,0.0,0,4.1038,0.0,0.0,True
2021-02-01,JNJ,buy_call,2.8356,2,-2.8628,-2.8356,-0.056712,True
2021-02-01,JPM,buy_call,2.8914,2,15.2016,12.3102,0.246204,True
2021-02-01,KO,skip,0.0,0,1.7446,0.0,0.0,True
2021-02-01,LLY,buy_call,4.2246,2,-1.481,-4.2246,-0.084492,True
2021-02-01,LMT,skip,0.0,0,2.6195,0.0,0.0,True
2021-02-01,LOW,buy_call,3.2887,2,-3.9189,-3.2887,-0.065774,True
2021-02-01,LRCX,buy_call,5.0332,2,17.2001,12.1669,0.243338,True
2021-02-01,MA,skip,0.0,0,12.017,0.0,0.0,True
2021-02-01,MCD,skip,0.0,0,-0.8179,0.0,0.0,True
2021-02-01,MDLZ,skip,0.0,0,-4.1125,0.0,0.0,True
2021-02-01,MDT,skip,0.0,0,5.066,0.0,0.0,True
2021-02-01,META,skip,0.0,0,-0.2748,0.0,0.0,True
2021-02-01,MMM,buy_call,3.3063,2,-0.3416,-3.3063,-0.066126,True
2021-02-01,MRK,skip,0.0,0,-5.774,0.0,0.0,True
2021-02-01,MS,skip,0.0,0,15.2353,0.0,0.0,True
2021-02-01,MSFT,buy_call,2.8599,2,0.1811,-2.6789,-0.053578,True
2021-02-01,MU,buy_call,6.0448,2,16.9414,10.8965,0.21793,True
2021-02-01,NEE,buy_call,2.7944,2,-9.1381,-2.7944,-0.055888,True
2021-02-01,NFLX,skip,0.0,0,1.2134,0.0,0.0,True
2021-02-01,NKE,skip,0.0,0,0.8908,0.0,0.0,True
2021-02-01,NOW,skip,0.0,0,-1.7858,0.0,0.0,True
2021-02-01,NVDA,skip,0.0,0,5.5794,0.0,0.0,True
2021-02-01,ORCL,skip,0.0,0,7.1601,0.0,0.0,True
2021-02-01,PEP,skip,0.0,0,-5.4038,0.0,0.0,True
2021-02-01,PFE,skip,0.0,0,-5.6983,0.0,0.0,True
2021-02-01,PG,skip,0.0,0,-3.0691,0.0,0.0,True
2021-02-01,PLD,buy_call,3.3063,2,-4.0019,-3.3063,-0.066126,True
2021-02-01,PYPL,buy_call,2.6948,2,10.9001,8.2053,0.164106,True
2021-02-01,QCOM,buy_call,3.8721,2,-12.8551,-3.8721,-0.077442,True
2021-02-01,SBUX,skip,0.0,0,11.5897,0.0,0.0,True
2021-02-01,SCHW,skip,0.0,0,19.7516,0.0,0.0,True
2021-02-01,SO,skip,0.0,0,-3.7339,0.0,0.0,True
2021-02-01,SPGI,skip,0.0,0,3.8991,0.0,0.0,True
2021-02-01,SYK,skip,0.0,0,9.8095,0.0,0.0,True
2021-02-01,T,skip,0.0,0,-0.2895,0.0,0.0,True
2021-02-01,TGT,buy_call,3.0983,2,1.253,-1.8453,-0.036906,True
2021-02-01,TJX,skip,0.0,0,3.045,0.0,0.0,True
2021-02-01,TMO,buy_call,2.7974,2,-11.6971,-2.7974,-0.055948,True
2021-02-01,TMUS,skip,0.0,0,-4.8461,0.0,0.0,True
2021-02-01,TSLA,buy_call,6.7056,2,-14.874,-6.7056,-0.134112,True
2021-02-01,TXN,buy_call,5.0332,2,4.6018,-0.4314,-0.008628,True
2021-02-01,UNH,skip,0.0,0,-0.4077,0.0,0.0,True
2021-02-01,UNP,skip,0.0,0,4.2994,0.0,0.0,True
2021-02-01,UPS,skip,0.0,0,1.8258,0.0,0.0,True
2021-02-01,V,skip,0.0,0,9.9043,0.0,0.0,True
2021-02-01,VRTX,skip,0.0,0,-7.2158,0.0,0.0,True
2021-02-01,VZ,skip,0.0,0,2.0859,0.0,0.0,True
2021-02-01,WMT,skip,0.0,0,-7.5237,0.0,0.0,True
2021-02-01,XOM,buy_call,4.2166,2,21.2533,17.0368,0.340736,True
2021-02-01,ZTS,skip,0.0,0,0.7978,0.0,0.0,True
2021-03-01,AAPL,skip,0.0,0,0.8845,0.0,0.0,False
2021-03-01,ABBV,buy_call,2.8453,1,0.4455,-2.3998,-0.023998,False
2021-03-01,ABT,skip,0.0,0,0.0501,0.0,0.0,False
2021-03-01,ACN,buy_call,2.362,1,10.1036,7.7417,0.077417,False
2021-03-01,ADBE,buy_call,2.2425,1,3.4155,1.173,0.01173,False
2021-03-01,AMAT,buy_call,3.5449,1,13.2528,9.708,0.09708,False
2021-03-01,AMD,skip,0.0,0,-7.1116,0.0,0.0,False
2021-03-01,AMGN,skip,0.0,0,11.4441,0.0,0.0,False
2021-03-01,AMT,skip,0.0,0,10.6094,0.0,0.0,False
2021-03-01,AMZN,skip,0.0,0,0.0372,0.0,0.0,False
2021-03-01,AVGO,buy_call,3.5449,1,-1.3216,-3.5449,-0.035449,False
2021-03-01,AXP,buy_call,2.923,1,4.569,1.6461,0.016461,False
2021-03-01,BA,buy_call,3.0,1,20.1453,17.1453,0.171453,False
2021-03-01,BAC,buy_call,3.2119,1,11.4664,8.2545,0.082545,False
2021-03-01,BKNG,buy_call,3.0,1,0.0571,-2.9429,-0.029429,False
2021-03-01,BLK,skip,0.0,0,8.5615,0.0,0.0,False
2021-03-01,BMY,skip,0.0,0,2.9349,0.0,0.0,False
2021-03-01,BRK-B,buy_call,1.6313,1,6.2201,4.5888,0.045888,False
2021-03-01,C,buy_call,3.0,1,10.428,7.428,0.07428,False
2021-03-01,CAT,buy_call,3.535,1,7.4069,3.8719,0.038719,False
2021-03-01,CHTR,buy_call,3.2379,1,0.5869,-2.651,-0.02651,False
2021-03-01,CI,skip,0.0,0,15.1691,0.0,0.0,False
2021-03-01,CMCSA,buy_call,3.2379,1,2.6366,-0.6013,-0.006013,False
2021-03-01,COST,skip,0.0,0,6.6997,0.0,0.0,False
2021-03-01,CRM,skip,0.0,0,-2.1386,0.0,0.0,False
2021-03-01,CSCO,buy_call,2.2833,1,15.2441,12.9608,0.129608,False
2021-03-01,CSX,buy_call,3.0,1,5.6363,2.6363,0.026363,False
